,Title,Title_URL,Image,ipclockupoverlay_URL,Title1,Title2,ipcratingstar,Content,Title_new,Clean_content
1148,1149. Thotti Jaya,https://www.imdb.com/title/tt0459566/?ref_=sr_t_1149,"https://m.media-amazon.com/images/M/MV5BOWE1YmM0MTgtODNkMS00NThkLWE0N2UtZDE4YjZkZDJlN2Q5XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_QL75_UY207_CR11,0,140,207_.jpg",https://www.imdb.com/title/tt0459566/?ref_=sr_i_1149,2005,2h 25m,"6.2
 (682)","An orphan gets noticed by a local gangster and is recruited by him. However, trouble ensues as he falls in love with a girl who turns out to be the daughter of the gangster.",thotti jaya,an orphan gets noticed by a local gangster and is recruited by him however trouble ensues as he falls in love with a girl who turns out to be the daughter of the gangster
1149,1150. Kanda Naal Mudhal,https://www.imdb.com/title/tt0808892/?ref_=sr_t_1150,"https://m.media-amazon.com/images/M/MV5BMTBhY2U0YjItNWIwMS00MDQxLThlNzEtODQ2MjQwNjk0Yzg2XkEyXkFqcGdeQXVyMTY0MDk0NjE3._V1_QL75_UY207_CR7,0,140,207_.jpg",https://www.imdb.com/title/tt0808892/?ref_=sr_i_1150,2005,2h 9m,"7.3
 (454)","Ramya and Krishna end up catching each others throat whenever they happen to meet. Aravind (Krishna's Friend) parents arrange his marriage with Ramya. Its a smooth story on how love blooms between Ramya and Krishna because of circumstances, and who ends up marrying Ramya - Aravind or Krishna ?",kanda naal mudhal,ramya and krishna end up catching each others throat whenever they happen to meet aravind krishna s friend parents arrange his marriage with ramya its a smooth story on how love blooms between ramya and krishna because of circumstances and who ends up marrying ramya aravind or krishna
1150,1151. Priyasakhi,https://www.imdb.com/title/tt0453188/?ref_=sr_t_1151,"https://m.media-amazon.com/images/M/MV5BOTBhYWU2N2QtZTQ5My00Nzc1LTgzNWYtMmQ1OWM2MmY2OTFhXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR34,0,140,207_.jpg",https://www.imdb.com/title/tt0453188/?ref_=sr_i_1151,2005,2h 37m,"4.6
 (198)","A romantic drama telling the tale of two lovers, Sakhi(Madhavan) who is from is a family which is very traditional and Priya(Sadha) who is from a cosmopolitan and very outgoing family.",priyasakhi,a romantic drama telling the tale of two lovers sakhi madhavan who is from is a family which is very traditional and priya sadha who is from a cosmopolitan and very outgoing family
1151,1152. Kanaa Kanden,https://www.imdb.com/title/tt0455578/?ref_=sr_t_1152,"https://m.media-amazon.com/images/M/MV5BMDliNzJmOGYtN2VkYi00ZDkzLThiZmYtZmZmMjQ5MjY1MTZmXkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_QL75_UY207_CR9,0,140,207_.jpg",https://www.imdb.com/title/tt0455578/?ref_=sr_i_1152,2005,2h 26m,"6.4
 (375)","This film has the water scarcity that the city faces severely as its backdrop. It revolves around three interesting characters. 'Baskar', who takes up desalination of seawater as his ambition; His childhood friend 'Archana' who later turns out as his spouse; 'Madan', who makes pivot changes in others life with his sheer intelligence. What happens when these three meet up? How these characters use their brainpower variously is narrated sophisticatedly. How a young chap with such an ambition arising from a third world nation triumphs is told with an interesting screenplay.",kanaa kanden,this film has the water scarcity that the city faces severely as its backdrop it revolves around three interesting characters baskar who takes up desalination of seawater as his ambition his childhood friend archana who later turns out as his spouse madan who makes pivot changes in others life with his sheer intelligence what happens when these three meet up how these characters use their brainpower variously is narrated sophisticatedly how a young chap with such an ambition arising from a third world nation triumphs is told with an interesting screenplay
1152,1153. Devathayai Kanden,https://www.imdb.com/title/tt2396443/?ref_=sr_t_1153,"https://m.media-amazon.com/images/M/MV5BYWFkYzcyMmYtMmUyYy00NmYxLTg4NTEtNzk1MWYwMmUyZDc0XkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_QL75_UY207_CR3,0,140,207_.jpg",https://www.imdb.com/title/tt2396443/?ref_=sr_i_1153,2005,2h 36m,"4.9
 (365)","Watch the full movie, Devathayai Kanden, only on Eros Now. Babu (Dhanush) is a struggling youngster who makes a living out of selling milk tea, carrying the business on his bicycle. He falls in love with a college girl named Uma (Sridevi Vijaykumar). Gradually, Uma also reciprocates Babu's feelings and things go smoothly for a while. Uma's parents find her a wealthy groom who is well educated. Uma is in a dilemma on whom to choose as her life partner. She thinks of her future if she chooses the impoverished Babu where she visualizes herself giving birth to a child in a government hospital, her husband unable to raise required money for her medical expenses and overall a very difficult life; in contrast to a life where she is pampered by everyone, her every need taken care of almost instantly if she chooses to marry the groom selected by her parents. While Babu is on a religious trip to Sabarimala, the girl decides to marry the groom Bala (Kunal) so that she can continue to lead a comfortable life. Babu is devastated when he learns of this and heartbroken when Uma goes to the extent of slapping him when he accuses her parents of changing her mind. In a unique way, Babu files a case against Uma for not holding the promise made to him of sharing a life together for a good 50 years. The case soon gathers momentum and has the public discussing it everywhere. As the case progresses, several sacrifices made by Babu for the sake of Uma come into light through revelations made by people known to him and by his close friends. Uma has a change of heart and on the final day of the hearing, decides to re-unite with Babu. In a final twist, when Uma offers a rose to Babu, he refuses to accept her, saying that the case was filed not to win her back, but to teach a lesson to her and every girl with an attitude identical. He justifies further by saying that yesterday she hated him because of his status but today she loves him and tomorrow she may again find him unattractive. Fee",devathayai kanden,watch the full movie devathayai kanden only on eros now babu dhanush is a struggling youngster who makes a living out of selling milk tea carrying the business on his bicycle he falls in love with a college girl named uma sridevi vijaykumar gradually uma also reciprocates babu s feelings and things go smoothly for a while uma s parents find her a wealthy groom who is well educated uma is in a dilemma on whom to choose as her life partner she thinks of her future if she chooses the impoverished babu where she visualizes herself giving birth to a child in a government hospital her husband unable to raise required money for her medical expenses and overall a very difficult life in contrast to a life where she is pampered by everyone her every need taken care of almost instantly if she chooses to marry the groom selected by her parents while babu is on a religious trip to sabarimala the girl decides to marry the groom bala kunal so that she can continue to lead a comfortable life babu is devastated when he learns of this and heartbroken when uma goes to the extent of slapping him when he accuses her parents of changing her mind in a unique way babu files a case against uma for not holding the promise made to him of sharing a life together for a good 50 years the case soon gathers momentum and has the public discussing it everywhere as the case progresses several sacrifices made by babu for the sake of uma come into light through revelations made by people known to him and by his close friends uma has a change of heart and on the final day of the hearing decides to re unite with babu in a final twist when uma offers a rose to babu he refuses to accept her saying that the case was filed not to win her back but to teach a lesson to her and every girl with an attitude identical he justifies further by saying that yesterday she hated him because of his status but today she loves him and tomorrow she may again find him unattractive fee
1153,1154. Daas,https://www.imdb.com/title/tt0455415/?ref_=sr_t_1154,"https://m.media-amazon.com/images/M/MV5BMjU5MTQyNjYtMzEwMi00N2Q1LTkyNWItYzYzYjQzYTc1NDdjXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR26,0,140,207_.jpg",https://www.imdb.com/title/tt0455415/?ref_=sr_i_1154,2005,2h 43m,"3.1
 (156)","Antony falls in love with Rajeswari who belongs to an upper caste family. When her father kills her sister for marrying a man from the lower caste, she decides to elope with Antony.",daas,antony falls in love with rajeswari who belongs to an upper caste family when her father kills her sister for marrying a man from the lower caste she decides to elope with antony
1154,1155. Aanai,https://www.imdb.com/title/tt13731258/?ref_=sr_t_1155,"https://m.media-amazon.com/images/M/MV5BYjgxYmJmMjMtMzMzMC00MmFlLWI2ZjQtOGIzYzk5NWQ3ZjBhXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR37,0,140,207_.jpg",https://www.imdb.com/title/tt13731258/?ref_=sr_i_1155,2005,,"5.4
 (27)","Vijay (Arjun) is an ex-cop who was framed up after he cleaned the city of the scum of the earth including nine encounter killings of dreaded gangsters. Now out of work, he is persuaded by his former boss to be the bodyguard of 8-year-old Priya whose parents (Manoj K. Jayan and Sanghavi) are millionaires. He is hired to protect the little girl from kidnappers who are on the prowl. The kidnappers are led by a loony militant called 'Ahmed Khan' who manages to kidnap Priya and humiliate Vijay. The rest of the film is how Vijay assisted by two glam girls (Namitha and Keerthi Chawla) mete out vigilante justice in a cat-and-mouse game with the kidnappers.",aanai,vijay arjun is an ex cop who was framed up after he cleaned the city of the scum of the earth including nine encounter killings of dreaded gangsters now out of work he is persuaded by his former boss to be the bodyguard of 8 year old priya whose parents manoj k jayan and sanghavi are millionaires he is hired to protect the little girl from kidnappers who are on the prowl the kidnappers are led by a loony militant called ahmed khan who manages to kidnap priya and humiliate vijay the rest of the film is how vijay assisted by two glam girls namitha and keerthi chawla mete out vigilante justice in a cat and mouse game with the kidnappers
1155,1156. Maayavi,https://www.imdb.com/title/tt1496797/?ref_=sr_t_1156,"https://m.media-amazon.com/images/M/MV5BNmExMzkyMTQtNWYzOS00ZjY1LWJmM2QtMzA3MWNhYWU2NjNhXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR1,0,140,207_.jpg",https://www.imdb.com/title/tt1496797/?ref_=sr_i_1156,2005,2h 36m,"4.8
 (639)","A famous actress, after being kidnapped by a fan of her's, starts liking him.",maayavi,a famous actress after being kidnapped by a fan of her s starts liking him
1156,1157. Uyir the soul,https://www.imdb.com/title/tt11461654/?ref_=sr_t_1157,,https://www.imdb.com/title/tt11461654/?ref_=sr_i_1157,2005,,,"A group of friends skipped their trip for a local celebration at an estate during the holidays. They stayed in the Old Manager Bungalow, unaware that the manager and his wife were mysteriously missing, adding an eerie twist to their stay.",uyir the soul,a group of friends skipped their trip for a local celebration at an estate during the holidays they stayed in the old manager bungalow unaware that the manager and his wife were mysteriously missing adding an eerie twist to their stay
1157,1158. Kannadi Pookkal,https://www.imdb.com/title/tt6539142/?ref_=sr_t_1158,"https://m.media-amazon.com/images/M/MV5BYjEzMjBhNWItODhiZi00YjE1LWFkZjktYTQ1NGFhZTYwZWQ3XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt6539142/?ref_=sr_i_1158,2005,2h 27m,"7.8
 (25)","A seven-year-old spends time happily with his father and step mother. But with the birth of a new baby in the family, he's unable to tolerate the competition for parental love, and kills the newborn.",kannadi pookkal,a seven year old spends time happily with his father and step mother but with the birth of a new baby in the family he s unable to tolerate the competition for parental love and kills the newborn
