,Title,Title_URL,Image,ipclockupoverlay_URL,Title1,Title2,ipcratingstar,Content,Title_new,Clean_content
0,1. Anjali,https://www.imdb.com/title/tt0099043/?ref_=sr_t_1,"https://m.media-amazon.com/images/M/MV5BZjAyYjY1ODUtNTlkOS00ODVmLWE3ODEtNmUzZTQxNjcwNjMyXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_QL75_UY207_CR11,0,140,207_.jpg",https://www.imdb.com/title/tt0099043/?ref_=sr_i_1,1990,2h 30m,"8.2
 (3.2K)","After a few years, Chitra learns that her child, who was believed to be dead, is alive but is suffering from a mental illness. However, her family faces many challenges while looking after her child.",anjali,after a few years chitra learns that her child who was believed to be dead is alive but is suffering from a mental illness however her family faces many challenges while looking after her child
1,2. Puriyatha Puthir,https://www.imdb.com/title/tt10953342/?ref_=sr_t_2,"https://m.media-amazon.com/images/M/MV5BMjM0ZWQ0MTgtNDY1ZC00YTUyLWFkZDQtZWQ5YmY1MzQyOWViXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_QL75_UY207_CR24,0,140,207_.jpg",https://www.imdb.com/title/tt10953342/?ref_=sr_i_2,1990,,"7.4
 (51)","Raghu (Rahman) escapes from prison and comes to Geetha's (Rekha) house. He finds that her husband, Chakravarthi (Raghuvaran) is murdered. Raghu asks Geetha to hide him from the police. As Geetha knows him from her college days, she believes him to be innocent. The next day, when he asks Geetha why she murdered her husband, she tells him about her past. Chakravarthi hated beautiful women as he was harassed badly by his stepmother. Hence, he used to ill-treat Geetha. Her childhood friend Babu (Anand Babu), a disco dancer, advised him not to do so, but to no avail. Hence Babu was very angry with him. One day, after giving another dose of torture to Geetha, Chakravarthi went upstairs. Later, Geetha found him to be murdered. She did not know who the murderer was. In an interesting plot twist, a police officer also gets involved. One day in the bar, where Babu was dancing, one of Chakravarthi's former aides was found murdered and the knife used to kill him was found to be in Babu's hands. At this point, everyone involved in this case have been taken into police custody, and Babu was tortured by the police because of his finger prints in the knife. The investigation continues on the murder. Meanwhile, Geetha also tries to find her husband's killer. In the end when the secret is out, the killer jumps out of the building and the crew requests the audience not to reveal the killer.",puriyatha puthir,raghu rahman escapes from prison and comes to geetha s rekha house he finds that her husband chakravarthi raghuvaran is murdered raghu asks geetha to hide him from the police as geetha knows him from her college days she believes him to be innocent the next day when he asks geetha why she murdered her husband she tells him about her past chakravarthi hated beautiful women as he was harassed badly by his stepmother hence he used to ill treat geetha her childhood friend babu anand babu a disco dancer advised him not to do so but to no avail hence babu was very angry with him one day after giving another dose of torture to geetha chakravarthi went upstairs later geetha found him to be murdered she did not know who the murderer was in an interesting plot twist a police officer also gets involved one day in the bar where babu was dancing one of chakravarthi s former aides was found murdered and the knife used to kill him was found to be in babu s hands at this point everyone involved in this case have been taken into police custody and babu was tortured by the police because of his finger prints in the knife the investigation continues on the murder meanwhile geetha also tries to find her husband s killer in the end when the secret is out the killer jumps out of the building and the crew requests the audience not to reveal the killer
2,3. Michael Madana Kama Rajan,https://www.imdb.com/title/tt0140377/?ref_=sr_t_3,"https://m.media-amazon.com/images/M/MV5BMTU0OThmOTctZDkwNS00NTE4LTgwYTUtOGU5YjZhYzYxNmNhXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_QL75_UY207_CR10,0,140,207_.jpg",https://www.imdb.com/title/tt0140377/?ref_=sr_i_3,1990,2h 42m,"8.5
 (5.1K)","A comedy of errors with identical quadruplets, separated at birth, coming together as adults.",michael madana kama rajan,a comedy of errors with identical quadruplets separated at birth coming together as adults
3,4. Mounam Sammadham,https://www.imdb.com/title/tt0235607/?ref_=sr_t_4,"https://m.media-amazon.com/images/M/MV5BZTZiNDQxMjEtMDZjOC00ZGVlLWI2ZjAtZmFjZTdiYmI1ZDRkXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR16,0,140,207_.jpg",https://www.imdb.com/title/tt0235607/?ref_=sr_i_4,1990,2h 24m,"7.0
 (195)","Sundaram is charged with the murder of his brother's wife. But everyone believes he is innocent. His lawyer asks Raja, an eminent lawyer from Delhi, to take his case and Raja accepts it.",mounam sammadham,sundaram is charged with the murder of his brother s wife but everyone believes he is innocent his lawyer asks raja an eminent lawyer from delhi to take his case and raja accepts it
4,5. Adisaya Piravi,https://www.imdb.com/title/tt0318275/?ref_=sr_t_5,"https://m.media-amazon.com/images/M/MV5BZDI4ODJiZjctNzI2NC00OGI5LWE4NzQtY2NkOTk3MzBkZTE3XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_QL75_UY207_CR6,0,140,207_.jpg",https://www.imdb.com/title/tt0318275/?ref_=sr_i_5,1990,2h 25m,"6.8
 (440)","Kaalayan is killed by goons. In heaven, he opposes and gets sent back in the body of Balu, who has enemies in the form of greedy relatives. Now, he has to fix Balu's life as well as his own.",adisaya piravi,kaalayan is killed by goons in heaven he opposes and gets sent back in the body of balu who has enemies in the form of greedy relatives now he has to fix balu s life as well as his own
5,6. Arangetra Velai,https://www.imdb.com/title/tt0214486/?ref_=sr_t_6,"https://m.media-amazon.com/images/M/MV5BZmRkODk1YTYtOTUyMy00YzdiLTg2MzktYjhlNjUzYzk0YzA5XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_QL75_UY207_CR14,0,140,207_.jpg",https://www.imdb.com/title/tt0214486/?ref_=sr_i_6,1990,2h 34m,"7.4
 (216)",Three unemployed people - two men and one woman - find the answer to their money problems when they receive a call from a kidnapper through a cross connection.,arangetra velai,three unemployed people two men and one woman find the answer to their money problems when they receive a call from a kidnapper through a cross connection
6,7. Pathimoonam Number Veedu,https://www.imdb.com/title/tt10162934/?ref_=sr_t_7,"https://m.media-amazon.com/images/M/MV5BYjAxZDlmNjktMGJiNy00Y2UyLTg3NGEtNzRiMTVhZTIxODA3XkEyXkFqcGdeQXVyMTA2NjIyMTg4._V1_QL75_UY207_CR114,0,140,207_.jpg",https://www.imdb.com/title/tt10162934/?ref_=sr_i_7,1990,1h 50m,"6.6
 (19)","Selvam (Nizhalgal Ravi), an estate manager, and his family move into a new house based in a remote village. There, Selvam falls in love with Annam (Sadhana), a jolly village girl. Disturbed by a ghost (Lalitha Kumari), Selvam's grandfather dies from a heart attack. One day, Murali (Jaishankar), Selvam's brother, goes to an isolated home and treats an old lady. The next day, he realizes that the old lady was a ghost and he also dies from a heart attack. The family, in mourning, decides to arrange Selvam's wedding with Annam to forget this tragedy. Thereafter, Annam becomes pregnant but even after 10 months, she doesn't deliver. A Gurukkal (Ra. Sankaran) comes to the aid of the family and he feels that something has stopped her delivery. He prepares a ritual and the ghost finally appears and tells him about her past. The ghost was the young woman named Rekha. She lived happily with her husband (Ravikanth) but her husband had a lot of bad habits and also had a lot of debts. Under pressures, he forced his wife Rekha to have a sexual relationship with the house owner. She refused and killed the house owner. Afterwards, her angry husband killed her in turn. She then became a ghost and killed her husband. Since that day, she killed every male who stayed in the house.",pathimoonam number veedu,selvam nizhalgal ravi an estate manager and his family move into a new house based in a remote village there selvam falls in love with annam sadhana a jolly village girl disturbed by a ghost lalitha kumari selvam s grandfather dies from a heart attack one day murali jaishankar selvam s brother goes to an isolated home and treats an old lady the next day he realizes that the old lady was a ghost and he also dies from a heart attack the family in mourning decides to arrange selvam s wedding with annam to forget this tragedy thereafter annam becomes pregnant but even after 10 months she doesn t deliver a gurukkal ra sankaran comes to the aid of the family and he feels that something has stopped her delivery he prepares a ritual and the ghost finally appears and tells him about her past the ghost was the young woman named rekha she lived happily with her husband ravikanth but her husband had a lot of bad habits and also had a lot of debts under pressures he forced his wife rekha to have a sexual relationship with the house owner she refused and killed the house owner afterwards her angry husband killed her in turn she then became a ghost and killed her husband since that day she killed every male who stayed in the house
7,8. Vaigasi Poranthachu,https://www.imdb.com/title/tt10158248/?ref_=sr_t_8,"https://m.media-amazon.com/images/M/MV5BODJlZDI4MmItYmEzMi00NzdhLTlkNjQtNWMwM2Q1OGFlZWY5XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt10158248/?ref_=sr_i_8,1990,2h 20m,"7.8
 (27)","After an initial tiff, Kumaresan falls for Ranjita. She, however, humiliates him since he does not know who his father is. When she learns some truths about her own mother, she has a change of heart.",vaigasi poranthachu,after an initial tiff kumaresan falls for ranjita she however humiliates him since he does not know who his father is when she learns some truths about her own mother she has a change of heart
8,9. Pulan Visaaranai,https://www.imdb.com/title/tt0320321/?ref_=sr_t_9,"https://m.media-amazon.com/images/M/MV5BNDQyMTg5NWItYTNmMS00ZjkwLTg3NTgtZGQ0YjQwYzM5YTQzXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_QL75_UY207_CR5,0,140,207_.jpg",https://www.imdb.com/title/tt0320321/?ref_=sr_i_9,1990,2h 30m,"6.8
 (133)","Dharma, an auto driver, works for RR, an influential politician, and kidnaps young women. Investigating officer DCP Raj, who was earlier suspended due to political pressure, must bring him to justice.",pulan visaaranai,dharma an auto driver works for rr an influential politician and kidnaps young women investigating officer dcp raj who was earlier suspended due to political pressure must bring him to justice
9,10. Panakkaran,https://www.imdb.com/title/tt1286164/?ref_=sr_t_10,"https://m.media-amazon.com/images/M/MV5BY2FmYmEyNWMtNzNjZC00MmU5LThlOTAtMmY1MTljN2JhMjhiXkEyXkFqcGdeQXVyMTY0MDk0NjE3._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt1286164/?ref_=sr_i_10,1990,2h 27m,"6.8
 (389)","The illegitimate son of a rich man and a singer is raised by a poor drunkard. Before he can commit to the girl he loves, he wants to find out who his parents really are. Will the drunkard help him?",panakkaran,the illegitimate son of a rich man and a singer is raised by a poor drunkard before he can commit to the girl he loves he wants to find out who his parents really are will the drunkard help him
10,11. Keladi Kanmani,https://www.imdb.com/title/tt0319660/?ref_=sr_t_11,"https://m.media-amazon.com/images/M/MV5BMmJiNjYzMWYtZjU3OC00MzE1LWEzMDgtNzFhNmMzNGZkYjZmXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_QL75_UY207_CR93,0,140,207_.jpg",https://www.imdb.com/title/tt0319660/?ref_=sr_i_11,1990,2h 20m,"7.4
 (121)","The movie begins with the love-hate relationship between Anu (Anju) and Sasi (Ramesh Aravind). We also see that Anu is a motherless child, reared by an understanding father, A.R.R (S.P. Balasubrahmanyam). As the relationship between Anu and Sasi gradually blossoms into love, Anu's intuition tells her that something is going to go wrong. True to her feelings, she is diagnosed with a terminal disease. After coming to terms with the fact that death is at her doorstep, Anu expresses her last wish to Sasi. She wants to find Sharada (Radhika), who once wanted to marry her father A.R.R (S.P. Balasubrahmanyam), but had to part ways because of Anu's stubbornness. Sasi leaves no stone unturned in finding Sharada. Secretly everyone hopes that Anu will survive. But will she?",keladi kanmani,the movie begins with the love hate relationship between anu anju and sasi ramesh aravind we also see that anu is a motherless child reared by an understanding father a r r s p balasubrahmanyam as the relationship between anu and sasi gradually blossoms into love anu s intuition tells her that something is going to go wrong true to her feelings she is diagnosed with a terminal disease after coming to terms with the fact that death is at her doorstep anu expresses her last wish to sasi she wants to find sharada radhika who once wanted to marry her father a r r s p balasubrahmanyam but had to part ways because of anu s stubbornness sasi leaves no stone unturned in finding sharada secretly everyone hopes that anu will survive but will she
11,12. Chatriyan,https://www.imdb.com/title/tt0319171/?ref_=sr_t_12,"https://m.media-amazon.com/images/M/MV5BNWQ4YmM2ZDAtNmRmNS00YmYwLWI0NjMtNjNjYzliZjZiMWEyXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_QL75_UY207_CR33,0,140,207_.jpg",https://www.imdb.com/title/tt0319171/?ref_=sr_i_12,1990,,"7.3
 (186)","When his daughter's life is endangered by a local gang, Joseph Kuruvilla will do whatever it takes to stop them. However, at the same time, his dangerous past slowly resurfaces",chatriyan,when his daughter s life is endangered by a local gang joseph kuruvilla will do whatever it takes to stop them however at the same time his dangerous past slowly resurfaces
14,15. Periya Veettu Panakkaran,https://www.imdb.com/title/tt0320235/?ref_=sr_t_15,"https://m.media-amazon.com/images/M/MV5BMzU5ZDk1NzAtOGM4Mi00MWVlLTk2NjAtN2I0Y2IxMjM4NjEwXkEyXkFqcGdeQXVyMjA4OTI5NDQ@._V1_QL75_UY207_CR34,0,140,207_.jpg",https://www.imdb.com/title/tt0320235/?ref_=sr_i_15,1990,2h 34m,"5.9
 (25)",Indian Tamil film directed by N.K. Viswanathan.,periya veettu panakkaran,indian tamil film directed by n k viswanathan
15,16. Pudhu Padagan,https://www.imdb.com/title/tt23784596/?ref_=sr_t_16,,https://www.imdb.com/title/tt23784596/?ref_=sr_i_16,1990,2h 10m,,"Manikkam and Devi are cousins, who love each other since their childhood. What happens when Manikkam goes to jail and Devi is forced to marry someone else to save a child's life?",pudhu padagan,manikkam and devi are cousins who love each other since their childhood what happens when manikkam goes to jail and devi is forced to marry someone else to save a child s life
16,17. Velai Kidaichiruchu,https://www.imdb.com/title/tt0318803/?ref_=sr_t_17,"https://m.media-amazon.com/images/M/MV5BOTA0MzBlMWEtMzMzMy00OTY5LTliMGMtYmE0OTkwNmZhODlmXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR6,0,140,207_.jpg",https://www.imdb.com/title/tt0318803/?ref_=sr_i_17,1990,,"5.3
 (21)","Baasha, a gangster, controls a whole village with an iron fist. Pazhanisamy, who relocates to the village, questions the riots and earns Baasha's enmity. Can he defeat Baasha and save the people?",velai kidaichiruchu,baasha a gangster controls a whole village with an iron fist pazhanisamy who relocates to the village questions the riots and earns baasha s enmity can he defeat baasha and save the people
17,18. En Veedu En Kanavar,https://www.imdb.com/title/tt2373548/?ref_=sr_t_18,"https://m.media-amazon.com/images/M/MV5BYTZiZWUwMmYtYmNjMC00NjVhLWJmYTUtYTcyZjUxYTAzMTc5XkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_QL75_UY207_CR28,0,140,207_.jpg",https://www.imdb.com/title/tt2373548/?ref_=sr_i_18,1990,2h 10m,"4.1
 (124)","When Gayathri kills her husband after a troubled married life, her best friend Radha also decides to test whether or not her husband loves her.",en veedu en kanavar,when gayathri kills her husband after a troubled married life her best friend radha also decides to test whether or not her husband loves her
18,19. Seeta,https://www.imdb.com/title/tt1385979/?ref_=sr_t_19,"https://m.media-amazon.com/images/M/MV5BMGEyNDNmZDItZTQ3My00MDA3LWI2ZTktYjBlODVjOTI4MjU5XkEyXkFqcGdeQXVyOTA1NTE5MTQ@._V1_QL75_UY207_CR102,0,140,207_.jpg",https://www.imdb.com/title/tt1385979/?ref_=sr_i_19,1990,,,"The film begins with Seetha (Kanaka) returning to her native village after completing her studies in the city. Seetha and her parents lead a peaceful life until Boopathy, the son of the village zamindar, crosses her path. Boopathy spread terror among the villagers and he now wants to marry Seetha but she refuses. So Boopathy, who was very upset and frustrated by her refusal, kills her father. Seetha and her mother have no other choice than to flee the village. In the city, Seetha finds a decent job and rents a house. On the other hand, Boopathy is still far from having forgotten Seetha so he tracks them the way to their house. He continues to ruin Seetha's life. One day, the police inspector Vijay (Rahman) comes to her rescue. He eventually falls in love with her and they get married afterwards. After the marriage, Vijay is arrested for a crime he did not commit. The journalist Jhansi Rani (Gautami) decides to save Seetha from Boopathy. Whereas Rathnaraj (R. Sarathkumar), a corrupt politician and Jhansi's husband, joins hand with Boopathy. What transpires next forms the rest of the story.",seeta,the film begins with seetha kanaka returning to her native village after completing her studies in the city seetha and her parents lead a peaceful life until boopathy the son of the village zamindar crosses her path boopathy spread terror among the villagers and he now wants to marry seetha but she refuses so boopathy who was very upset and frustrated by her refusal kills her father seetha and her mother have no other choice than to flee the village in the city seetha finds a decent job and rents a house on the other hand boopathy is still far from having forgotten seetha so he tracks them the way to their house he continues to ruin seetha s life one day the police inspector vijay rahman comes to her rescue he eventually falls in love with her and they get married afterwards after the marriage vijay is arrested for a crime he did not commit the journalist jhansi rani gautami decides to save seetha from boopathy whereas rathnaraj r sarathkumar a corrupt politician and jhansi s husband joins hand with boopathy what transpires next forms the rest of the story
19,20. My Dear Marthandan,https://www.imdb.com/title/tt0254593/?ref_=sr_t_20,"https://m.media-amazon.com/images/M/MV5BOWUyMWFmNmUtMGU2Ni00OGQ2LTlmMDctMDlhNGY0OWQxYmUxXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_QL75_UX140_CR0,6,140,207_.jpg",https://www.imdb.com/title/tt0254593/?ref_=sr_i_20,1990,1h 54m,"6.1
 (120)","Marthandan lives with his parents in a palace. He sets out to Chennai to find a girl. There he meets ""Idea Mani"" (Goundamani), who is very cunning and tries to make money from the innocent Marthandan in comical ways. He meets a girl (Kushboo) in a bakery and befriends her. The rest of the story is about how he tries to win her over and how he understands the value of money.",my dear marthandan,marthandan lives with his parents in a palace he sets out to chennai to find a girl there he meets idea mani goundamani who is very cunning and tries to make money from the innocent marthandan in comical ways he meets a girl kushboo in a bakery and befriends her the rest of the story is about how he tries to win her over and how he understands the value of money
20,21. Kizhakku Vasal,https://www.imdb.com/title/tt0319690/?ref_=sr_t_21,"https://m.media-amazon.com/images/M/MV5BYmM0M2YzMzUtZjZlMi00NWU4LWJiZWUtYTNmMjNmODk3YzdhXkEyXkFqcGdeQXVyMjA4OTI5NDQ@._V1_QL75_UY207_CR34,0,140,207_.jpg",https://www.imdb.com/title/tt0319690/?ref_=sr_i_21,1990,2h 24m,"7.0
 (96)","A young orphaned girl is taken care of by a prostitute, when she grows up; she falls in love with a young man in the village. But, the village head also likes her and tries to separate them; but they fight him and stay together.",kizhakku vasal,a young orphaned girl is taken care of by a prostitute when she grows up she falls in love with a young man in the village but the village head also likes her and tries to separate them but they fight him and stay together
21,22. Avasara Police 100,https://www.imdb.com/title/tt0155514/?ref_=sr_t_22,"https://m.media-amazon.com/images/M/MV5BMGVlYWU4NTMtNDM1ZS00ZjZlLWE4YzctNDBjNTE3ZjY0MjZkXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_QL75_UY207_CR12,0,140,207_.jpg",https://www.imdb.com/title/tt0155514/?ref_=sr_i_22,1990,2h 23m,"6.8
 (93)","Avasara Police 100 is a 1990 Indian Tamil film, directed by ""WriterK. Bhagyaraj"" and produced by ,The film stars ""K. Bhagyaraj, M. G. Ramachandran, Gouthami"" in lead roles. The film.",avasara police 100,avasara police 100 is a 1990 indian tamil film directed by writerk bhagyaraj and produced by the film stars k bhagyaraj m g ramachandran gouthami in lead roles the film
22,23. Nadigan,https://www.imdb.com/title/tt0320125/?ref_=sr_t_23,"https://m.media-amazon.com/images/M/MV5BNWM2M2I5ZTYtYWQ4Mi00NTRlLWI2ZjctOGJiODBlMzhhMzhlXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_QL75_UY207_CR3,0,140,207_.jpg",https://www.imdb.com/title/tt0320125/?ref_=sr_i_23,1990,2h 15m,"6.9
 (149)",A man in desperate need of money decides to disguise himself as an old man to teach two young women. He falls in love with one of the them and simultaneously romances their guardian.,nadigan,a man in desperate need of money decides to disguise himself as an old man to teach two young women he falls in love with one of the them and simultaneously romances their guardian
23,24. Thiagu,https://www.imdb.com/title/tt6539232/?ref_=sr_t_24,"https://m.media-amazon.com/images/M/MV5BYjk1MWI0M2UtN2QyZS00YTlmLWI0MmItZDViY2Q1ODkzMjFmXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt6539232/?ref_=sr_i_24,1990,2h 4m,,"Raghuvaran who is brought up in a traditional brahmin family lives with his father, mother and sister. Sreenivasan's furious behaviour disturbs his mind and after losing his mother and sister one day he leaves his home with all unwanted relationships and addiction to drinking.",thiagu,raghuvaran who is brought up in a traditional brahmin family lives with his father mother and sister sreenivasan s furious behaviour disturbs his mind and after losing his mother and sister one day he leaves his home with all unwanted relationships and addiction to drinking
24,25. Inainda Kaigal,https://www.imdb.com/title/tt0482677/?ref_=sr_t_25,"https://m.media-amazon.com/images/M/MV5BNWE0MzQ0NjktMzg4Ni00MWNmLWI2ZTUtMGJmMTdkODIwZmRkXkEyXkFqcGdeQXVyMjM5NDM1MTE@._V1_QL75_UY207_CR21,0,140,207_.jpg",https://www.imdb.com/title/tt0482677/?ref_=sr_i_25,1990,2h 40m,"7.9
 (76)","A grieving mother asks an ex-army man to rescue her son, Gunasekaran, who is locked up in a military prison. But at the same time a hideous criminal appoints a fugitive to kidnap Gunasekaran from the prison and kill the ex-army man. Both leave for their missions respectively, not knowing what Gunasekaran holds in his past and the fugitive takes this personal.",inainda kaigal,a grieving mother asks an ex army man to rescue her son gunasekaran who is locked up in a military prison but at the same time a hideous criminal appoints a fugitive to kidnap gunasekaran from the prison and kill the ex army man both leave for their missions respectively not knowing what gunasekaran holds in his past and the fugitive takes this personal
26,27. Thangamalai Thirudan,https://www.imdb.com/title/tt2822314/?ref_=sr_t_27,"https://m.media-amazon.com/images/M/MV5BNDMzNjMxZjctNTdhYi00NjA1LTg0NTktODljN2NjYzhiMjhkXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt2822314/?ref_=sr_i_27,1990,1h 24m,,"Thangamalai Thirudan is a 1986 Indian Tamil film, directed by A Kodandarami Reddy and produced by T Trivikrama Rao. The film stars Chiranjeevi and Radha in lead roles. The music of the film was composed by Ilayaraja.",thangamalai thirudan,thangamalai thirudan is a 1986 indian tamil film directed by a kodandarami reddy and produced by t trivikrama rao the film stars chiranjeevi and radha in lead roles the music of the film was composed by ilayaraja
27,28. Thriyathri,https://www.imdb.com/title/tt0271827/?ref_=sr_t_28,"https://m.media-amazon.com/images/M/MV5BZjA3ZmVjOGYtMzY4NS00NzA0LTg3Y2EtYTJiM2ZhNWVkZDgzXkEyXkFqcGdeQXVyNTc4NzgzNDg@._V1_QL75_UY207_CR60,0,140,207_.jpg",https://www.imdb.com/title/tt0271827/?ref_=sr_i_28,1990,,"7.8
 (38)","Bright students Ravi, Adi and Surya are angry when they find out that their high school marks are just below the cutoff mark to get an entrance to the college of their choice. Out of frustration, Ravi twangs his guitar during his grandfather's classical music lesson. The old man, instead of getting angry at this behavior, challenges the boys first to a musical contest and then to a cycle tour to Kanyakumari. These challenges test the young kid's minds, characters and endurance.",thriyathri,bright students ravi adi and surya are angry when they find out that their high school marks are just below the cutoff mark to get an entrance to the college of their choice out of frustration ravi twangs his guitar during his grandfather s classical music lesson the old man instead of getting angry at this behavior challenges the boys first to a musical contest and then to a cycle tour to kanyakumari these challenges test the young kid s minds characters and endurance
28,29. Ooru Vittu Ooru Vandhu,https://www.imdb.com/title/tt0320211/?ref_=sr_t_29,"https://m.media-amazon.com/images/M/MV5BMDE5OWE2NmMtMTg0Mi00ZWMxLWE2NjQtYWM5ZjQ4ZWQ3MjA2XkEyXkFqcGdeQXVyMjA4OTI5NDQ@._V1_QL75_UY207_CR5,0,140,207_.jpg",https://www.imdb.com/title/tt0320211/?ref_=sr_i_29,1990,,"5.8
 (20)",Ramarajan and his dance troupe arrive in a village and face the ire of the regular troupe that performs there each year. Matters worsen when one of his troupe members falls in love with an opponent.,ooru vittu ooru vandhu,ramarajan and his dance troupe arrive in a village and face the ire of the regular troupe that performs there each year matters worsen when one of his troupe members falls in love with an opponent
31,32. The Other Side,https://www.imdb.com/title/tt1943756/?ref_=sr_t_32,"https://m.media-amazon.com/images/M/MV5BMTg4MDkxZWEtYjFlOS00ZTQyLWI1MmMtMjA1NzlmZjdmNDI2XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt1943756/?ref_=sr_i_32,1990,1h 20m,"7.1
 (42)","An estranged son visits his ailing father and tries to figure out the reason behind the latter's silent remorse. When he learns about his father's past, he makes a decision that may help his father.",the other side,an estranged son visits his ailing father and tries to figure out the reason behind the latter s silent remorse when he learns about his father s past he makes a decision that may help his father
34,35. Ulagam Piranthathu Enakkaga,https://www.imdb.com/title/tt6536510/?ref_=sr_t_35,"https://m.media-amazon.com/images/M/MV5BM2NiZTdmOTQtZTQ4OS00ZWQ0LWE1ZmEtNGE2YWExYWNhZDdlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt6536510/?ref_=sr_i_35,1990,2h 28m,"4.0
 (13)","Sathyaraj is a rich person who returns from America to India. He gets surprised when most of them call him with different name and later he sees another Sathyaraj who is a jobless guy and wanted to earn money for his Sister's life. Sathyaraj requests another Sathyaraj to pretend like him, so that he will be able to find his enemies.",ulagam piranthathu enakkaga,sathyaraj is a rich person who returns from america to india he gets surprised when most of them call him with different name and later he sees another sathyaraj who is a jobless guy and wanted to earn money for his sister s life sathyaraj requests another sathyaraj to pretend like him so that he will be able to find his enemies
35,36. En Uyir Thozhan,https://www.imdb.com/title/tt0155693/?ref_=sr_t_36,"https://m.media-amazon.com/images/M/MV5BM2JjMmZmODctNWI3ZS00ZWQ2LWI5ZjktMTdiYjA4MmZkM2MwXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR34,0,140,207_.jpg",https://www.imdb.com/title/tt0155693/?ref_=sr_i_36,1990,2h 30m,"7.0
 (27)","Chittu, a rich village girl, runs away with a drama artist, who flees with her jewels deserting her in a train. She is rescued by a slum dweller, Dharma, with whom she decides to live.",en uyir thozhan,chittu a rich village girl runs away with a drama artist who flees with her jewels deserting her in a train she is rescued by a slum dweller dharma with whom she decides to live
39,40. Pudhu Vasantham,https://www.imdb.com/title/tt12675648/?ref_=sr_t_40,"https://m.media-amazon.com/images/M/MV5BZTE4OWI1MTQtZjY2ZC00YWFiLWI4MWMtZjNhMGE4ZTc4YTRjXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UX140_CR0,6,140,207_.jpg",https://www.imdb.com/title/tt12675648/?ref_=sr_i_40,1990,2h 30m,"7.4
 (43)","A rich girl makes friends with four poor but lively young boys, to the disapproval of her fiancee.",pudhu vasantham,a rich girl makes friends with four poor but lively young boys to the disapproval of her fiancee
40,41. Aadi Velli,https://www.imdb.com/title/tt12405532/?ref_=sr_t_41,"https://m.media-amazon.com/images/M/MV5BYjg5OTIzNWEtYzcxNS00MTIyLTlhMTctYjhmOGQ5NjNjMzU5XkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_QL75_UY207_CR3,0,140,207_.jpg",https://www.imdb.com/title/tt12405532/?ref_=sr_i_41,1990,2h 40m,,A beautiful village girl falls in love with a guy. But he has evil intentions to abduct all the wealth of the village's temple. Whether the temple's wealth can be saved ?,aadi velli,a beautiful village girl falls in love with a guy but he has evil intentions to abduct all the wealth of the village s temple whether the temple s wealth can be saved
42,43. Salem Vishnu,https://www.imdb.com/title/tt1863366/?ref_=sr_t_43,"https://m.media-amazon.com/images/M/MV5BNzUyMzBkY2MtZDYxMi00NjljLThkM2QtZmE2OWYyYjUxYmY3XkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_QL75_UY207_CR26,0,140,207_.jpg",https://www.imdb.com/title/tt1863366/?ref_=sr_i_43,1990,2h 10m,"4.6
 (8)","Vishnu, a clever student but intolerant to cheating, is detained from college. He then becomes a car mechanic, but his life starts to change when his brother is transferred to the same city.",salem vishnu,vishnu a clever student but intolerant to cheating is detained from college he then becomes a car mechanic but his life starts to change when his brother is transferred to the same city
